id,root,cs,code,label,version,spaces ,text|,|text,text|text,xx  | OR |  xx
observation-codes.vitals.ehr2edc,,,,EHR2EDC Vital Signs Observation Codes,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:1,observation-codes.vitals.ehr2edc,,,Body mass index | Quantitative,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:1,observation-codes.vitals.ehr2edc,http://loinc.org,39156-5,Body mass index (BMI) [Ratio],2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:1,observation-codes.vitals.ehr2edc,http://snomed.info/sct,60621009,Body mass index (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:2,observation-codes.vitals.ehr2edc,,,Surface area | Body | Quantitative,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:2,observation-codes.vitals.ehr2edc,http://loinc.org,8277-6,Body surface area,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:2,observation-codes.vitals.ehr2edc,http://snomed.info/sct,301898006,Body surface area (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,,,Blood pressure | Diastolic phase @ Cardiac Process | Quantitative,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8462-4,Diastolic blood pressure,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8496-2,Brachial artery Diastolic blood pressure,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8514-2,Brachial artery - left Diastolic blood pressure,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8515-9,Brachial artery - right Diastolic blood pressure,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8453-3,Diastolic blood pressure--sitting,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8454-1,Diastolic blood pressure--standing,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://loinc.org,8455-8,Diastolic blood pressure--supine,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://snomed.info/sct,271650006,Diastolic blood pressure (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://snomed.info/sct,407555005,Sitting diastolic blood pressure (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://snomed.info/sct,400975005,Standing diastolic blood pressure (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:3,observation-codes.vitals.ehr2edc,http://snomed.info/sct,407557002,Lying diastolic blood pressure (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:5,observation-codes.vitals.ehr2edc,,,Circumference | Head | Quantitative,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:5,observation-codes.vitals.ehr2edc,http://loinc.org,8287-5,Head Occipital-frontal circumference by Tape measure,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:5,observation-codes.vitals.ehr2edc,http://snomed.info/sct,363812007,Head circumference (observable entity),2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:6,observation-codes.vitals.ehr2edc,,,Height | Body | Quantitative,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:6,observation-codes.vitals.ehr2edc,http://loinc.org,8302-2,Body height,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
observation-codes.vitals.ehr2edc.core:6,observation-codes.vitals.ehr2edc,http://loinc.org,8306-3,Body height --lying,2019-06-03,FALSE,FALSE,FALSE,FALSE,FALSE
